workerid,key,value
W74c8f9d2af,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W74c8f9d2af,bonus,2
W7221e20f22,startTime,Wed Apr 27 2022 14:07:03 GMT+0100 (British Summer Time)
W7221e20f22,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W7221e20f22,trialDataFile,exp1_split2
W7221e20f22,featureRandomization,"{""Green"":""Striped"",""Red"":""Solid"",""Blue"":""Spotted"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
W7221e20f22,descriptionSet,reduced
W7221e20f22,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
W7221e20f22,quizAttempt-2,"{""attempt"":2,""correct"":6,""total"":6}"
W7221e20f22,quizPassed,"{""attempt"":2,""correct"":6,""total"":6}"
W7221e20f22,bonus,2
W5792e59fff,startTime,Wed Apr 27 2022 14:04:10 GMT+0100 (British Summer Time)
W5792e59fff,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W5792e59fff,trialDataFile,exp1_split1
W5792e59fff,featureRandomization,"{""Green"":""Striped"",""Red"":""Spotted"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
W5792e59fff,descriptionSet,reduced
W5792e59fff,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W5792e59fff,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
W5792e59fff,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
W5792e59fff,bonus,2
W5efe7a6d8b,startTime,Wed Apr 27 2022 14:04:54 GMT+0100 (British Summer Time)
W5efe7a6d8b,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W5efe7a6d8b,trialDataFile,exp1_split2
W5efe7a6d8b,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
W5efe7a6d8b,descriptionSet,reduced
W5efe7a6d8b,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W5efe7a6d8b,quizAttempt-2,"{""attempt"":2,""correct"":2,""total"":2}"
W5efe7a6d8b,quizPassed,"{""attempt"":2,""correct"":2,""total"":2}"
W5efe7a6d8b,bonus,2
W09df7a4eec,startTime,Wed Apr 27 2022 14:07:47 GMT+0100 (British Summer Time)
W09df7a4eec,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W09df7a4eec,trialDataFile,exp1_split1
W09df7a4eec,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
W09df7a4eec,descriptionSet,reduced
W09df7a4eec,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W09df7a4eec,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W09df7a4eec,bonus,2
W3ac62728e7,startTime,Wed Apr 27 2022 14:18:26 GMT+0100 (British Summer Time)
W3ac62728e7,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W3ac62728e7,trialDataFile,exp1_split1
W3ac62728e7,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Solid"",""Solid"":""Striped"",""Striped"":""Spotted""}"
W3ac62728e7,descriptionSet,reduced
W3ac62728e7,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W3ac62728e7,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
W3ac62728e7,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
W3ac62728e7,bonus,2
W56d4fd51de,startTime,Wed Apr 27 2022 14:05:23 GMT+0100 (British Summer Time)
W56d4fd51de,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W56d4fd51de,trialDataFile,exp1_split3
W56d4fd51de,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
W56d4fd51de,descriptionSet,reduced
W56d4fd51de,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W56d4fd51de,quizAttempt-2,"{""attempt"":2,""correct"":2,""total"":3}"
W56d4fd51de,quizAttempt-3,"{""attempt"":3,""correct"":3,""total"":3}"
W56d4fd51de,quizPassed,"{""attempt"":3,""correct"":3,""total"":3}"
W56d4fd51de,bonus,2
W77e19c446a,startTime,Wed Apr 27 2022 15:00:14 GMT+0100 (British Summer Time)
W77e19c446a,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W77e19c446a,trialDataFile,exp1_split3
W77e19c446a,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
W77e19c446a,descriptionSet,reduced
W77e19c446a,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W77e19c446a,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W77e19c446a,bonus,2
Wbc9c1fa310,startTime,Wed Apr 27 2022 14:24:57 GMT+0100 (British Summer Time)
Wbc9c1fa310,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wbc9c1fa310,trialDataFile,exp1_split2
Wbc9c1fa310,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Solid"",""Solid"":""Striped"",""Striped"":""Spotted""}"
Wbc9c1fa310,descriptionSet,reduced
Wbc9c1fa310,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
Wbc9c1fa310,quizAttempt-2,"{""attempt"":2,""correct"":5,""total"":5}"
Wbc9c1fa310,quizPassed,"{""attempt"":2,""correct"":5,""total"":5}"
Wbc9c1fa310,bonus,2
W85edbb2b39,startTime,Wed Apr 27 2022 14:25:05 GMT+0100 (British Summer Time)
W85edbb2b39,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W85edbb2b39,trialDataFile,exp1_split3
W85edbb2b39,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
W85edbb2b39,descriptionSet,reduced
W85edbb2b39,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W85edbb2b39,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W85edbb2b39,bonus,2
W64fa44e4e6,startTime,Wed Apr 27 2022 14:25:03 GMT+0100 (British Summer Time)
W64fa44e4e6,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W64fa44e4e6,trialDataFile,exp1_split2
W64fa44e4e6,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
W64fa44e4e6,descriptionSet,reduced
W64fa44e4e6,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":14}"
W64fa44e4e6,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":5}"
W64fa44e4e6,quizAttempt-3,"{""attempt"":3,""correct"":3,""total"":3}"
W64fa44e4e6,quizPassed,"{""attempt"":3,""correct"":3,""total"":3}"
W64fa44e4e6,bonus,2
Wbefa6d4e65,startTime,Wed Apr 27 2022 14:25:03 GMT+0100 (British Summer Time)
Wbefa6d4e65,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wbefa6d4e65,trialDataFile,exp1_split3
Wbefa6d4e65,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Striped"",""Solid"":""Spotted"",""Striped"":""Solid""}"
Wbefa6d4e65,descriptionSet,reduced
Wbefa6d4e65,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
Wbefa6d4e65,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":5}"
Wbefa6d4e65,quizAttempt-3,"{""attempt"":3,""correct"":3,""total"":3}"
Wbefa6d4e65,quizPassed,"{""attempt"":3,""correct"":3,""total"":3}"
Wbefa6d4e65,bonus,2
W5fc0770c32,startTime,Wed Apr 27 2022 14:25:37 GMT+0100 (British Summer Time)
W5fc0770c32,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W5fc0770c32,trialDataFile,exp1_split3
W5fc0770c32,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Solid"",""Solid"":""Striped"",""Striped"":""Spotted""}"
W5fc0770c32,descriptionSet,reduced
W5fc0770c32,quizAttempt-1,"{""attempt"":1,""correct"":9,""total"":14}"
W5fc0770c32,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":8}"
W5fc0770c32,quizAttempt-3,"{""attempt"":3,""correct"":5,""total"":6}"
W5fc0770c32,quizFailed,"{""attempt"":3,""correct"":5,""total"":6}"
Wb305f383ba,startTime,Thu Apr 28 2022 08:33:41 GMT-0400 (Eastern Daylight Time)
Wb305f383ba,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wb305f383ba,trialDataFile,exp1_split3
Wb305f383ba,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
Wb305f383ba,descriptionSet,reduced
Wb305f383ba,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
Wb305f383ba,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
Wb305f383ba,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
Wb305f383ba,bonus,2
Wc116d45c0f,startTime,Thu Apr 28 2022 13:35:53 GMT+0100 (British Summer Time)
Wc116d45c0f,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wc116d45c0f,trialDataFile,exp1_split2
Wc116d45c0f,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Green"",""Solid"":""Blue"",""Striped"":""Red""}"
Wc116d45c0f,descriptionSet,reduced
Wc116d45c0f,quizAttempt-1,"{""attempt"":1,""correct"":10,""total"":14}"
Wc116d45c0f,quizAttempt-2,"{""attempt"":2,""correct"":5,""total"":5}"
Wc116d45c0f,quizPassed,"{""attempt"":2,""correct"":5,""total"":5}"
Wc116d45c0f,bonus,2
Wa4898980c1,startTime,Thu Apr 28 2022 13:33:38 GMT+0100 (British Summer Time)
Wa4898980c1,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wa4898980c1,trialDataFile,exp1_split1
Wa4898980c1,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
Wa4898980c1,descriptionSet,reduced
Wa4898980c1,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
Wa4898980c1,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
Wa4898980c1,bonus,2
Wb5481caab3,startTime,Thu Apr 28 2022 13:37:18 GMT+0100 (British Summer Time)
Wb5481caab3,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wb5481caab3,trialDataFile,exp1_split2
Wb5481caab3,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
Wb5481caab3,descriptionSet,reduced
Wb5481caab3,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
Wb5481caab3,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
Wb5481caab3,bonus,2
W89734a246c,startTime,Thu Apr 28 2022 08:34:41 GMT-0400 (Eastern Daylight Time)
W89734a246c,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W89734a246c,trialDataFile,exp1_split3
W89734a246c,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
W89734a246c,descriptionSet,reduced
W89734a246c,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":14}"
W89734a246c,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":5}"
W89734a246c,quizAttempt-3,"{""attempt"":3,""correct"":2,""total"":3}"
W89734a246c,quizFailed,"{""attempt"":3,""correct"":2,""total"":3}"
W54b74fdbc2,startTime,Thu Apr 28 2022 13:34:40 GMT+0100 (British Summer Time)
W54b74fdbc2,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W54b74fdbc2,trialDataFile,exp1_split2
W54b74fdbc2,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Solid"",""Solid"":""Striped"",""Striped"":""Spotted""}"
W54b74fdbc2,descriptionSet,reduced
W54b74fdbc2,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W54b74fdbc2,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W54b74fdbc2,bonus,2
W9279f74d2f,startTime,Thu Apr 28 2022 13:34:45 GMT+0100 (British Summer Time)
W9279f74d2f,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W9279f74d2f,trialDataFile,exp1_split2
W9279f74d2f,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
W9279f74d2f,descriptionSet,reduced
W9279f74d2f,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W9279f74d2f,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W9279f74d2f,bonus,2
Wdeeb07cbb0,startTime,Thu Apr 28 2022 13:34:58 GMT+0100 (BST)
Wdeeb07cbb0,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wdeeb07cbb0,trialDataFile,exp1_split1
Wdeeb07cbb0,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
Wdeeb07cbb0,descriptionSet,reduced
Wdeeb07cbb0,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
Wdeeb07cbb0,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
Wdeeb07cbb0,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
Wdeeb07cbb0,bonus,2
Wa954b1b719,startTime,Thu Apr 28 2022 13:33:54 GMT+0100 (British Summer Time)
Wa954b1b719,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wa954b1b719,trialDataFile,exp1_split1
Wa954b1b719,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
Wa954b1b719,descriptionSet,reduced
Wa954b1b719,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
Wa954b1b719,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
Wa954b1b719,bonus,2
W1c272b3507,startTime,Thu Apr 28 2022 13:34:32 GMT+0100 (British Summer Time)
W1c272b3507,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W1c272b3507,trialDataFile,exp1_split2
W1c272b3507,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
W1c272b3507,descriptionSet,reduced
W1c272b3507,quizAttempt-1,"{""attempt"":1,""correct"":8,""total"":14}"
W1c272b3507,quizAttempt-2,"{""attempt"":2,""correct"":5,""total"":8}"
W1c272b3507,quizAttempt-3,"{""attempt"":3,""correct"":4,""total"":5}"
W1c272b3507,quizFailed,"{""attempt"":3,""correct"":4,""total"":5}"
W4b352652fd,startTime,Thu Apr 28 2022 13:33:57 GMT+0100 (British Summer Time)
W4b352652fd,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W4b352652fd,trialDataFile,exp1_split3
W4b352652fd,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
W4b352652fd,descriptionSet,reduced
W4b352652fd,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W4b352652fd,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W4b352652fd,bonus,2
W2476e15d55,startTime,Thu Apr 28 2022 13:34:07 GMT+0100 (British Summer Time)
W2476e15d55,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W2476e15d55,trialDataFile,exp1_split2
W2476e15d55,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
W2476e15d55,descriptionSet,reduced
W2476e15d55,quizAttempt-1,"{""attempt"":1,""correct"":7,""total"":14}"
W2476e15d55,quizAttempt-2,"{""attempt"":2,""correct"":11,""total"":11}"
W2476e15d55,quizPassed,"{""attempt"":2,""correct"":11,""total"":11}"
W2476e15d55,bonus,2
W6cd43650e7,startTime,Thu Apr 28 2022 13:34:21 GMT+0100 (British Summer Time)
W6cd43650e7,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W6cd43650e7,trialDataFile,exp1_split3
W6cd43650e7,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
W6cd43650e7,descriptionSet,reduced
W6cd43650e7,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W6cd43650e7,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
